phi_str_1,psi_str_1,phi_str_2,psi_str_2,phi_str_3,psi_str_3,phi_soft_1,psi_soft_1,phi_soft_3,psi_soft_3,phi_soft_4,psi_soft_4,phi_soft_5,psi_soft_5,phi_soft_6,psi_soft_6,phi_soft_7,psi_soft_7
-62.5,180,57.5,67.5,-177.5,-180,-180,180,82.5,57.5,72.5,-102.5,77.5,180,162.5,180,162.5,-180
-62.5,172.5,57.5,62.5,-177.5,-177.5,-42.5,180,87.5,57.5,72.5,-112.5,77.5,162.5,162.5,147.5,162.5,-177.5
-57.5,172.5,62.5,62.5,-172.5,-177.5,-42.5,172.5,87.5,42.5,77.5,-112.5,82.5,162.5,167.5,147.5,167.5,-177.5
-57.5,167.5,62.5,57.5,-172.5,-172.5,-42.5,172.5,92.5,42.5,77.5,-157.5,82.5,147.5,167.5,132.5,167.5,-167.5
-52.5,167.5,67.5,57.5,-167.5,-172.5,-37.5,172.5,92.5,22.5,72.5,-157.5,72.5,147.5,172.5,132.5,172.5,-167.5
-52.5,157.5,67.5,47.5,-167.5,-167.5,-37.5,167.5,97.5,22.5,72.5,-180,72.5,157.5,172.5,117.5,172.5,-157.5
-47.5,157.5,72.5,47.5,-127.5,-167.5,-32.5,167.5,97.5,-17.5,57.5,-180,67.5,157.5,177.5,117.5,177.5,-157.5
-47.5,147.5,77.5,32.5,-127.5,-172.5,-32.5,157.5,92.5,-17.5,57.5,-167.5,67.5,167.5,177.5,77.5,177.5,-147.5
-42.5,147.5,77.5,2.5,-97.5,-172.5,-27.5,157.5,92.5,-22.5,52.5,-167.5,62.5,167.5,180,77.5,180,-147.5
-42.5,137.5,62.5,2.5,-97.5,-167.5,-27.5,147.5,87.5,-22.5,52.5,-162.5,62.5,180,180,180,180,-180
-37.5,137.5,62.5,7.5,-77.5,-167.5,-22.5,147.5,87.5,-27.5,47.5,-162.5,77.5,180,162.5,180,162.5,-180
-37.5,122.5,57.5,7.5,-77.5,-172.5,-22.5,127.5,82.5,-27.5,47.5,-157.5,,,,,,
-42.5,122.5,57.5,12.5,-72.5,-172.5,-17.5,127.5,82.5,-37.5,42.5,-157.5,,,,,,
-42.5,117.5,52.5,12.5,-72.5,-177.5,-17.5,112.5,87.5,-37.5,42.5,-152.5,,,,,,
-47.5,117.5,52.5,22.5,-67.5,-177.5,-22.5,112.5,87.5,-47.5,37.5,-152.5,,,,,,
-47.5,112.5,47.5,22.5,-67.5,-180,-22.5,107.5,92.5,-47.5,37.5,-142.5,,,,,,
-57.5,112.5,47.5,27.5,-177.5,-180,-27.5,107.5,92.5,-57.5,32.5,-142.5,,,,,,
-57.5,107.5,42.5,27.5,,,-27.5,102.5,87.5,-57.5,32.5,-107.5,,,,,,
-62.5,107.5,42.5,37.5,,,-32.5,102.5,87.5,-67.5,37.5,-107.5,,,,,,
-62.5,102.5,37.5,37.5,,,-32.5,97.5,82.5,-67.5,37.5,-102.5,,,,,,
-67.5,102.5,37.5,62.5,,,-47.5,97.5,82.5,-72.5,42.5,-102.5,,,,,,
-67.5,97.5,42.5,62.5,,,-47.5,92.5,77.5,-72.5,42.5,-97.5,,,,,,
-72.5,97.5,42.5,67.5,,,-52.5,92.5,77.5,-77.5,52.5,-97.5,,,,,,
-72.5,62.5,57.5,67.5,,,-52.5,72.5,62.5,-77.5,52.5,-92.5,,,,,,
-77.5,62.5,,,,,-57.5,72.5,62.5,-72.5,62.5,-92.5,,,,,,
-77.5,52.5,,,,,-57.5,42.5,57.5,-72.5,62.5,-97.5,,,,,,
-87.5,52.5,,,,,-62.5,42.5,57.5,-67.5,67.5,-97.5,,,,,,
-87.5,47.5,,,,,-62.5,27.5,52.5,-67.5,67.5,-102.5,,,,,,
-92.5,47.5,,,,,-57.5,27.5,52.5,-37.5,72.5,-102.5,,,,,,
-92.5,52.5,,,,,-57.5,22.5,57.5,-37.5,,,,,,,,
-97.5,52.5,,,,,-52.5,22.5,57.5,-27.5,,,,,,,,
